OBJECTID;BEZIRK_NR;ID_STAMMDATEN;ID_SCHICHTDATEN;TK25;DGK5;ARCHIVKURZBEZEICHNUNG;E_DGK5;E_ARCHIVKURZBEZEICHNUNG;VERTRAULICHKEIT;AUFSCHLUSSBEZEICHNUNG;BOHRDATUM;X_ETRS89;Y_ETRS89;RECHTSWERT_GK;HOCHWERT_GK;ANSATZHOEHE_NN;GW_FLURABSTAND;ENDTEUFE;OBERE_TIEFE;UNTERE_TIEFE;STRATIGRAPHIE;HAUPTGEMENGTEIL;NEBENGEMENGTEIL;FARBE;GENESE;ZUSATZ;HYDROSTRATIGRAPHIE;SE_ANNO_CAD_DATA
495398;1;63383;495398;2426;6634;A1115;6632;E88;öffentlich;B.3;14.12.1970;566889;5.933641e+06;3.5669862e+06;5.9355765e+06;3.3;4.2;20;8;10.4;qh;mS-fS;u,kf;sw;f;;
495399;1;63383;495399;2426;6634;A1115;6632;E88;öffentlich;B.3;14.12.1970;566889;5.933641e+06;3.5669862e+06;5.9355765e+06;3.3;4.2;20;10.4;11.9;qh;mS-fS;u4,kf;grsw;f;;
495400;1;63383;495400;2426;6634;A1115;6632;E88;öffentlich;B.3;14.12.1970;566889;5.933641e+06;3.5669862e+06;5.9355765e+06;3.3;4.2;20;11.9;16.5;qp;mS-fS;u2,gs2,kf;gr;gf;;
505106;1;64547;505106;2426;6634;A907;6632;E1048;öffentlich;B.2;01.08.1962;566859;5.933462e+06;3.566956e+06;5.935397e+06;3.31;3.2;12.9;0;3.2;;fS-mS;g2,G:yy2,k;bn=gr;y;gw(3.20);L0
505107;1;64547;505107;2426;6634;A907;6632;E1048;öffentlich;B.2;01.08.1962;566859;5.933462e+06;3.566956e+06;5.935397e+06;3.31;3.2;12.9;3.2;4.6;;fS;kf;ge;y;;L0
505108;1;64547;505108;2426;6634;A907;6632;E1048;öffentlich;B.2;01.08.1962;566859;5.933462e+06;3.566956e+06;5.935397e+06;3.31;3.2;12.9;4.6;6.4;;gU;fs,voe(g),k;gn=gr;Mg,y;;H0
505110;1;64547;505110;2426;6634;A907;6632;E1048;öffentlich;B.2;01.08.1962;566859;5.933462e+06;3.566956e+06;5.935397e+06;3.31;3.2;12.9;8;10.9;qh;U;t,vi,h2,kf;dgr;Uk(pm);;
505111;1;64547;505111;2426;6634;A907;6632;E1048;öffentlich;B.2;01.08.1962;566859;5.933462e+06;3.566956e+06;5.935397e+06;3.31;3.2;12.9;10.9;12.9;qh;fS;kf;gn=gr;f;;
505137;1;64551;505137;2426;6634;A910;6632;E1052;öffentlich;B.10 + 10 a;01.08.1962;566890;5.933354e+06;3.566987e+06;5.935289e+06;5.28;6.5;14;0;7;;fS-mS;G:yy4,k;ro=bn;y;gw(6.50);L0
505138;1;64551;505138;2426;6634;A910;6632;E1052;öffentlich;B.10 + 10 a;01.08.1962;566890;5.933354e+06;3.566987e+06;5.935289e+06;5.28;6.5;14;7;8.2;;ffS;lag(U,ssf),k;bn;y;;L0
